Freq,Mag,Phase,Coherence
23.4375,-0.54487205,12.181829,3.1061274e-05
35.15625,1.4975225,-14.159597,3.0313679e-05
46.875,6.006761,-14.993412,2.5415215e-05
58.59375,-0.08663086,-19.338554,3.5974746e-05
70.3125,-2.1551404,-46.09275,1.4414678e-05
82.03125,-1.9127762,-57.25648,1.5767604e-05
93.75,-3.1219285,-25.55657,1.7233799e-05
105.46875,-0.8804441,-33.998684,1.3478549e-05
117.1875,0.8863436,-30.204723,1.4034769e-05
128.90625,-0.055723205,17.625849,7.657468e-05
140.625,-3.0784829,-2.8398514,5.7794354e-05
152.34375,4.1467032,-30.515392,2.0262893e-05
164.0625,2.421772,-32.91453,2.0813708e-05
175.78125,0.62347496,10.470068,1.428482e-05
187.5,-3.9405189,-15.938984,2.4351539e-05
199.21875,-4.6117597,-32.572304,6.229163e-06
210.9375,-5.2173247,-67.00837,8.387826e-06
222.65625,3.6656342,-97.26699,1.0027458e-05
234.375,8.975951,-30.174847,7.7443365e-06
246.09375,-1.296229,-56.38942,8.603627e-06
257.8125,4.5215664,-92.965065,2.5328583e-05
269.53125,0.6639736,-107.203316,1.9594292e-05
281.25,1.7569425,-83.240524,1.5255509e-05
292.96875,-3.143991,-114.27041,1.782777e-05
304.6875,-0.42731702,-69.33191,7.123083e-06
316.40625,1.3808995,-94.554474,6.8110594e-06
328.125,2.0558648,-68.25644,5.876681e-06
339.84375,-1.5484886,-5.384081,1.0267565e-05
351.5625,-0.4474643,26.892086,5.4878925e-05
363.28125,-4.618398,1.3259486,5.404071e-06
375.0,-2.445847,21.308603,1.2285254e-05
386.71875,-2.2672057,-2.103528,1.5027375e-05
398.4375,1.2727083,0.029974863,1.8217515e-05
410.15625,-5.769314,-7.9964,1.2658743e-05
421.875,-2.5992203,-38.87522,1.3900972e-05
433.59375,-2.2435625,-12.291084,5.1050442e-06
445.3125,2.9776185,-44.11405,8.662371e-06
457.03125,0.55867046,-81.28083,1.9136543e-05
468.75,-0.09149719,-51.96467,2.0955671e-05
480.46875,-0.77004224,-83.918724,1.6338887e-05
492.1875,-0.2849912,-92.975975,1.2865103e-05
503.90625,0.06489229,-139.44112,6.8043996e-06
515.625,0.634612,-106.08503,3.304577e-05
527.34375,1.8031449,-103.46827,5.344088e-05
539.0625,0.80875444,-89.423775,1.247378e-05
550.78125,-0.012562744,-59.88604,2.9070346e-05
562.5,1.1541238,-48.89125,1.2062745e-05
574.21875,3.3912323,-12.404616,7.691365e-06
585.9375,2.5155187,18.812443,1.1724311e-05
597.65625,0.6950859,22.38155,1.4851303e-05
609.375,1.0046281,59.9325,2.6886775e-05
621.09375,9.91405,35.76954,0.00025393773
632.8125,1.1973386,58.455753,1.7210117e-05
644.53125,-2.8954637,38.027306,5.038223e-06
656.25,-3.8592439,59.045822,1.147669e-05
667.96875,-3.2080402,76.07055,5.7252037e-05
679.6875,-1.0212365,52.293777,5.769439e-06
